	logFC	logCPM	F	PValue	color
si:dkey-67c22.2	3.24853531694465	7.84963342200261	47.3820603118911	0.000221027895356873	red
pef1	2.02265652915965	6.896591130805	47.1867687747388	0.000223907374394167	red
map3k21	-10.6684445992351	2.5780474269544	59.8641237567417	0.000226892159572453	blue
nsfl1c	2.2713470981568	6.90487394298978	46.7591094315231	0.000230383020696182	red
shrprbck1r	3.94295931628738	8.06038763158407	46.7560111036866	0.000230430806209092	red
vps26a	1.93333584456108	6.75977508134834	46.5960828673557	0.000232914736806436	red
emsy	-10.7182692194035	2.6272563406451	59.1933963262512	0.000234159992379008	blue
bcl2a	-10.7931319872979	2.7000489696439	58.9239563903983	0.000237166647121683	blue
casp9	2.12424785578847	5.61012989734057	46.0400693163243	0.000241822289130548	red
fabp1b.1	-2.96872817837143	6.14898299572032	46.0060226165669	0.000242381814369407	blue
edf1	2.30604823429407	8.36379358213857	45.9632406470711	0.000243087251631814	red
zgc:86896	-2.96793750472997	6.78835016722904	45.65382755766	0.000248268399601967	blue
hdac3	1.92906052956377	6.21635911013879	45.5595946105757	0.000249874424039031	red
akap11	1.91718879310393	5.71787600539062	45.5297677130698	0.000250385542470411	red
ndufb8	2.32720024463987	8.64767262733991	45.3070884447273	0.000254244099322296	red
sap30bp	1.95688399557983	5.9251472953547	45.192617670828	0.00025625732345857	red
syngr2a	3.3433377495375	9.40466166415614	45.1122040397483	0.00025768381444533	red
dab2ipb	-4.93615358916424	3.65172321754624	45.1057557268117	0.000257798644331519	blue
BX323587.1	-10.7364371926245	2.64348436393336	57.1465762222947	0.000258343979648488	blue
ATG2A	-10.8845029803644	2.79148420552164	57.0166840978224	0.000259988580132682	blue
rps5	-2.16483084861544	9.00693585512394	44.748185170753	0.000264270210293077	blue
tspan18a	2.53344320597313	5.82411975971469	44.6164764590108	0.000266706412260037	red
csnk1g1	1.8334849635675	6.10885358753317	44.4206055484829	0.000270382946436608	red
