	logFC	logCPM	F	PValue	color
CBX3	1.49806262453256	8.50912122487955	31.5123883782773	0.000544125385992907	red
TTC31	-4.32136252449235	4.11851195254389	31.5085692736445	0.00054433710221609	blue
GCLC	1.69968856032148	5.92713530574294	31.479919387987	0.000545928645799587	red
FANCD2	1.85620437889551	5.27044849469642	31.3964754776336	0.000550597519506985	red
TRPC4AP	-2.92338615655683	5.78633966638351	31.3639972890639	0.000552428307976122	blue
IMPA1	1.41833518567385	7.51228282532774	31.3403462454344	0.000553766328324289	red
WWC2	1.92636798418169	5.04356501736673	31.2882478574649	0.000556728109731847	red
CCDC58	1.90724640181894	5.43269576995464	31.274857680606	0.000557492552157231	red
ARF5	-1.5837185285509	6.47652499486118	31.2644108798656	0.000558089874122327	blue
ARF6	2.45836168976202	8.04927650265452	31.2451275871684	0.000559194558774728	red
SLC38A10	-2.82544628874953	4.82822695556183	31.2110046260866	0.000561156108263623	blue
FGF2	2.95744520611024	5.15446588004843	31.1799818812813	0.000562946952991161	red
ZFP41	-4.99145237636787	2.95098032752601	31.1792727573109	0.000562987972376534	blue
NOC4L	-4.64693228368938	3.12481249900495	31.1256663568855	0.000566099748225903	blue
COMMD1	1.58201218905625	5.52850057489858	31.0951041904892	0.000567883515975273	red
KLC4	-4.15577279506533	3.82940340361842	31.0766095527769	0.000568966391099274	blue
C19orf25	-2.64830867497861	5.3098305978767	31.0701225187875	0.000569346826560118	blue
ISOC2	-2.49700504018086	5.00333069701754	31.0616058892536	0.000569846774215922	blue
TIMM8B	2.11849609527731	6.69684947618227	31.0335552019867	0.000571497326516003	red
DPP7	-2.64497566171025	4.62489348014624	31.0181660909698	0.000572405401785795	blue
TOP2B	1.44799849070678	6.73994271147115	31.0109235838268	0.000572833392640616	red
CREB3L1	-2.5534577567612	5.66551431990905	31.0080332604962	0.000573004306536211	blue
LRFN4	-3.94533931008246	2.85095785824857	30.94151525717	0.000576955495285017	blue
NOP10	1.93885155850421	6.53926747029954	30.9359773847299	0.000577285988410634	red
HIBCH	1.67497273015929	5.59868997695361	30.9355067227087	0.000577314087885342	red
EFNA5	2.22533175331917	6.93143967002248	30.9300406047024	0.00057764055212984	red
RNF167	-1.78189646986858	6.00251384146898	30.9184048374611	0.000578336272068481	blue
BAX	-2.82512708670867	3.88212497523544	30.8526704012298	0.000582286474561561	blue
HNRNPD	2.33557423925627	6.85641161484973	30.8517557282061	0.000582341679141515	red
B4GALT2	-2.37837558680325	4.47521660037335	30.8196871555124	0.000584281324935288	blue
NSRP1	1.76350640877468	6.66356042896076	30.7964821344116	0.000585689930287807	red
PAXX	-3.38608447277374	3.46201759659783	30.7932632050861	0.000585885664643429	blue
NUSAP1	1.47979895867146	7.78708585461346	30.7445327406192	0.000588858899840073	red
SUCLA2	1.94057175964044	6.77756045319795	30.7133199605552	0.000590773280033538	red
GBP3	1.57167808232588	7.72495929374622	30.7094460621508	0.000591011424003818	red
PRKCSH	-1.99639612163897	6.88557079646353	30.6699901853237	0.000593443819854809	blue
